,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
375,"frozenset({'offerType_Angebot', 'gearbox_manuell', 'nrOfPictures_0'})",frozenset({'seller_privat'}),0.7394,1.0,0.7394,1.0,1.0,0.0,inf
376,"frozenset({'seller_privat', 'gearbox_manuell', 'nrOfPictures_0'})",frozenset({'offerType_Angebot'}),0.7394,1.0,0.7394,1.0,1.0,0.0,inf
377,"frozenset({'offerType_Angebot', 'seller_privat'})","frozenset({'gearbox_manuell', 'nrOfPictures_0'})",1.0,0.7394,0.7394,0.7394,1.0,0.0,1.0
378,"frozenset({'offerType_Angebot', 'gearbox_manuell'})","frozenset({'seller_privat', 'nrOfPictures_0'})",0.7394,1.0,0.7394,1.0,1.0,0.0,inf
379,"frozenset({'offerType_Angebot', 'nrOfPictures_0'})","frozenset({'seller_privat', 'gearbox_manuell'})",1.0,0.7394,0.7394,0.7394,1.0,0.0,1.0
380,"frozenset({'seller_privat', 'gearbox_manuell'})","frozenset({'offerType_Angebot', 'nrOfPictures_0'})",0.7394,1.0,0.7394,1.0,1.0,0.0,inf
381,"frozenset({'seller_privat', 'nrOfPictures_0'})","frozenset({'offerType_Angebot', 'gearbox_manuell'})",1.0,0.7394,0.7394,0.7394,1.0,0.0,1.0
382,"frozenset({'gearbox_manuell', 'nrOfPictures_0'})","frozenset({'offerType_Angebot', 'seller_privat'})",0.7394,1.0,0.7394,1.0,1.0,0.0,inf
383,frozenset({'offerType_Angebot'}),"frozenset({'seller_privat', 'gearbox_manuell', 'nrOfPictures_0'})",1.0,0.7394,0.7394,0.7394,1.0,0.0,1.0
384,frozenset({'seller_privat'}),"frozenset({'offerType_Angebot', 'gearbox_manuell', 'nrOfPictures_0'})",1.0,0.7394,0.7394,0.7394,1.0,0.0,1.0
385,frozenset({'gearbox_manuell'}),"frozenset({'offerType_Angebot', 'seller_privat', 'nrOfPictures_0'})",0.7394,1.0,0.7394,1.0,1.0,0.0,inf
386,frozenset({'nrOfPictures_0'}),"frozenset({'offerType_Angebot', 'seller_privat', 'gearbox_manuell'})",1.0,0.7394,0.7394,0.7394,1.0,0.0,1.0
387,"frozenset({'offerType_Angebot', 'fuelType_benzin', 'kilometer_150000'})",frozenset({'seller_privat'}),0.3514,1.0,0.3514,1.0,1.0,0.0,inf
388,"frozenset({'seller_privat', 'fuelType_benzin', 'kilometer_150000'})",frozenset({'offerType_Angebot'}),0.3514,1.0,0.3514,1.0,1.0,0.0,inf
389,"frozenset({'fuelType_benzin', 'kilometer_150000'})","frozenset({'offerType_Angebot', 'seller_privat'})",0.3514,1.0,0.3514,1.0,1.0,0.0,inf
390,"frozenset({'offerType_Angebot', 'seller_privat', 'kilometer_150000'})",frozenset({'notRepairedDamage_nein'}),0.64,0.707,0.4216,0.65875,0.9317538896746818,-0.03088000000000002,0.8586080586080586
391,"frozenset({'offerType_Angebot', 'notRepairedDamage_nein', 'kilometer_150000'})",frozenset({'seller_privat'}),0.4216,1.0,0.4216,1.0,1.0,0.0,inf
392,"frozenset({'seller_privat', 'notRepairedDamage_nein', 'kilometer_150000'})",frozenset({'offerType_Angebot'}),0.4216,1.0,0.4216,1.0,1.0,0.0,inf
393,"frozenset({'offerType_Angebot', 'kilometer_150000'})","frozenset({'seller_privat', 'notRepairedDamage_nein'})",0.64,0.707,0.4216,0.65875,0.9317538896746818,-0.03088000000000002,0.8586080586080586
394,"frozenset({'seller_privat', 'kilometer_150000'})","frozenset({'offerType_Angebot', 'notRepairedDamage_nein'})",0.64,0.707,0.4216,0.65875,0.9317538896746818,-0.03088000000000002,0.8586080586080586
395,"frozenset({'notRepairedDamage_nein', 'kilometer_150000'})","frozenset({'offerType_Angebot', 'seller_privat'})",0.4216,1.0,0.4216,1.0,1.0,0.0,inf
396,frozenset({'kilometer_150000'}),"frozenset({'offerType_Angebot', 'seller_privat', 'notRepairedDamage_nein'})",0.64,0.707,0.4216,0.65875,0.9317538896746818,-0.03088000000000002,0.8586080586080586
397,"frozenset({'offerType_Angebot', 'seller_privat', 'nrOfPictures_0'})",frozenset({'kilometer_150000'}),1.0,0.64,0.64,0.64,1.0,0.0,1.0
398,"frozenset({'offerType_Angebot', 'seller_privat', 'kilometer_150000'})",frozenset({'nrOfPictures_0'}),0.64,1.0,0.64,1.0,1.0,0.0,inf
399,"frozenset({'offerType_Angebot', 'nrOfPictures_0', 'kilometer_150000'})",frozenset({'seller_privat'}),0.64,1.0,0.64,1.0,1.0,0.0,inf
400,"frozenset({'seller_privat', 'nrOfPictures_0', 'kilometer_150000'})",frozenset({'offerType_Angebot'}),0.64,1.0,0.64,1.0,1.0,0.0,inf
401,"frozenset({'offerType_Angebot', 'seller_privat'})","frozenset({'nrOfPictures_0', 'kilometer_150000'})",1.0,0.64,0.64,0.64,1.0,0.0,1.0
402,"frozenset({'offerType_Angebot', 'nrOfPictures_0'})","frozenset({'seller_privat', 'kilometer_150000'})",1.0,0.64,0.64,0.64,1.0,0.0,1.0
403,"frozenset({'offerType_Angebot', 'kilometer_150000'})","frozenset({'seller_privat', 'nrOfPictures_0'})",0.64,1.0,0.64,1.0,1.0,0.0,inf
404,"frozenset({'seller_privat', 'nrOfPictures_0'})","frozenset({'offerType_Angebot', 'kilometer_150000'})",1.0,0.64,0.64,0.64,1.0,0.0,1.0
405,"frozenset({'seller_privat', 'kilometer_150000'})","frozenset({'offerType_Angebot', 'nrOfPictures_0'})",0.64,1.0,0.64,1.0,1.0,0.0,inf
406,"frozenset({'nrOfPictures_0', 'kilometer_150000'})","frozenset({'offerType_Angebot', 'seller_privat'})",0.64,1.0,0.64,1.0,1.0,0.0,inf
407,frozenset({'offerType_Angebot'}),"frozenset({'seller_privat', 'nrOfPictures_0', 'kilometer_150000'})",1.0,0.64,0.64,0.64,1.0,0.0,1.0
408,frozenset({'seller_privat'}),"frozenset({'offerType_Angebot', 'nrOfPictures_0', 'kilometer_150000'})",1.0,0.64,0.64,0.64,1.0,0.0,1.0
409,frozenset({'nrOfPictures_0'}),"frozenset({'offerType_Angebot', 'seller_privat', 'kilometer_150000'})",1.0,0.64,0.64,0.64,1.0,0.0,1.0
410,frozenset({'kilometer_150000'}),"frozenset({'offerType_Angebot', 'seller_privat', 'nrOfPictures_0'})",0.64,1.0,0.64,1.0,1.0,0.0,inf
411,"frozenset({'offerType_Angebot', 'seller_privat', 'notRepairedDamage_nein'})",frozenset({'fuelType_benzin'}),0.707,0.5964,0.4306,0.609052333804809,1.0212145100684256,0.008945199999999986,1.0323632416787263
412,"frozenset({'offerType_Angebot', 'seller_privat', 'fuelType_benzin'})",frozenset({'notRepairedDamage_nein'}),0.5964,0.707,0.4306,0.7219986586183769,1.0212145100684256,0.008945199999999986,1.0539517490952954
413,"frozenset({'offerType_Angebot', 'notRepairedDamage_nein', 'fuelType_benzin'})",frozenset({'seller_privat'}),0.4306,1.0,0.4306,1.0,1.0,0.0,inf
414,"frozenset({'seller_privat', 'notRepairedDamage_nein', 'fuelType_benzin'})",frozenset({'offerType_Angebot'}),0.4306,1.0,0.4306,1.0,1.0,0.0,inf
415,"frozenset({'offerType_Angebot', 'notRepairedDamage_nein'})","frozenset({'seller_privat', 'fuelType_benzin'})",0.707,0.5964,0.4306,0.609052333804809,1.0212145100684256,0.008945199999999986,1.0323632416787263
416,"frozenset({'offerType_Angebot', 'fuelType_benzin'})","frozenset({'seller_privat', 'notRepairedDamage_nein'})",0.5964,0.707,0.4306,0.7219986586183769,1.0212145100684256,0.008945199999999986,1.0539517490952954
417,"frozenset({'seller_privat', 'notRepairedDamage_nein'})","frozenset({'offerType_Angebot', 'fuelType_benzin'})",0.707,0.5964,0.4306,0.609052333804809,1.0212145100684256,0.008945199999999986,1.0323632416787263
